FileName;SIB nodes;SCB nodes;TDR nodes;Max Depth;Total TDR Lenght;Sessions;digging Alg conf time ;Hollowing Alg conf time ;test time;Digging TotalTime;Hollowing TotalTime;ON DIAGNOSIS;TDR DC before new Sessions;SCB-SIB DC before new Sessions;Added Sessions;TDR DC after new Sessions;SCB-SIB DC after new Sessions;NoneTestable TDRs;NoneTestable SIBs;NoneTestable SCBs;Testability;Diagnosis Time;Diagnosis Config Time;Diagnosis Total Time;NonTestet Nodes
N140D50_v2;44;50;90;3;427776;5;1439034;896676;2668251;4107285;3564927;;992 of 4005    24.769038701623%;0 of 4371    0%;40;301 of 4005    7.51560549313358%;0 of 4371    0%;65;0;0;64.6739130434783%;217047136;46589520;480683792;TDR 135;TDR 129.t;TDR 128;TDR 119;TDR 118;TDR 117;TDR 113;TDR 112;TDR 110;TDR 102;TDR 101;TDR 100;TDR 98;TDR 67;TDR 66;TDR 51;TDR 43;TDR 41.t;TDR 40;TDR 36;TDR 35;TDR 29;TDR 28;TDR 27.t;TDR 26;TDR 23;TDR 17;TDR 11;TDR 10;TDR 9.t;TDR 2.t;TDR 124.t;TDR 121.t;TDR 116.t;TDR 108.t;TDR 105.t;TDR 94.t;TDR 92.t;TDR 82.t;TDR 75.t;TDR 71.t;TDR 65.t;TDR 47.t;TDR 42.t;TDR 15.t;TDR 7;TDR 127;TDR 39;TDR 25;TDR 8;TDR 0;TDR 123;TDR 120;TDR 115;TDR 106;TDR 104;TDR 93;TDR 87;TDR 72;TDR 73;TDR 68;TDR 60;TDR 46;TDR 38;TDR 13;
N32D6_v2;13;10;24;4;96135;5;312327;198183;618363;930690;816546;;54 of 276    19.5652173913043%;0 of 253    0%;9;16 of 276    5.79710144927536%;0 of 253    0%;17;0;0;63.8297872340426%;10774021;3490029;25038071;TDR 31;TDR 28;TDR 17.t;TDR 10;TDR 3;TDR 27.t;TDR 24.t;TDR 16.t;TDR 8.t;TDR 5.t;TDR 2;TDR 11;TDR 20;TDR 23;TDR 12;TDR 7;TDR 4;
N73D14_v2;29;17;56;11;218823;13;1709389;949954;3426662;5136051;4376616;;239 of 1540    15.5194805194805%;0 of 1035    0%;17;78 of 1540    5.06493506493507%;0 of 1035    0%;37;0;0;63.7254901960784%;147956008;24525096;320437112;TDR 72.t;TDR 71;TDR 64;TDR 63;TDR 60;TDR 59;TDR 54.t;TDR 53;TDR 52.t;TDR 49.t;TDR 48;TDR 42.t;TDR 26;TDR 23;TDR 22;TDR 18.t;TDR 17;TDR 12.t;TDR 11;TDR 10;TDR 8;TDR 6;TDR 3;TDR 68.t;TDR 38.t;TDR 15.t;TDR 70;TDR 1;TDR 31;TDR 51;TDR 46;TDR 41;TDR 16;TDR 9;TDR 67;TDR 35;TDR 14;
N85D11_v2;38;21;64;7;247428;9;1189250;700768;2611315;3800565;3312083;;452 of 2016    22.4206349206349%;1 of 1711    0.0584453535943892%;30;63 of 2016    3.125%;0 of 1711    0%;40;0;0;67.479674796748%;161076061;31072920;353225042;TDR 81;TDR 80;TDR 79;TDR 71;TDR 60;TDR 54;TDR 53;TDR 51;TDR 48.t;TDR 45;TDR 43.t;TDR 42;TDR 36;TDR 31.t;TDR 27.t;TDR 26.t;TDR 2.t;TDR 83.t;TDR 70.t;TDR 64.t;TDR 47.t;TDR 25.t;TDR 15.t;TDR 14.t;TDR 11.t;TDR 34;TDR 44;TDR 41;TDR 18;TDR 19;TDR 20;TDR 1;TDR 82;TDR 69;TDR 63;TDR 46;TDR 24;TDR 9;TDR 12;TDR 10;
N85D8_v2;31;27;60;7;231670;9;1272252;734445;2504160;3776412;3238605;;301 of 1770    17.0056497175141%;0 of 1653    0%;23;86 of 1770    4.85875706214689%;0 of 1653    0%;43;0;0;63.5593220338983%;155085020;26035748;336205788;TDR 79;TDR 68.t;TDR 67;TDR 55.t;TDR 54;TDR 49.t;TDR 48.t;TDR 45.t;TDR 43;TDR 38;TDR 37;TDR 32;TDR 31;TDR 30;TDR 29;TDR 28;TDR 15;TDR 10;TDR 9;TDR 5.t;TDR 82.t;TDR 74.t;TDR 70.t;TDR 59.t;TDR 27.t;TDR 24.t;TDR 14.t;TDR 7.t;TDR 3;TDR 66;TDR 53;TDR 41;TDR 47;TDR 42;TDR 4;TDR 80;TDR 62;TDR 64;TDR 58;TDR 25;TDR 19;TDR 11;TDR 6;
N95D10_v2;31;33;62;6;313890;7;1530191;893011;2683807;4213998;3576818;;434 of 1891    22.9508196721311%;0 of 2016    0%;25;204 of 1891    10.7879428873612%;0 of 2016    0%;39;0;0;69.0476190476191%;121053286;25745057;267851629;TDR 94;TDR 85;TDR 84;TDR 82;TDR 80;TDR 70;TDR 67;TDR 65.t;TDR 64;TDR 60;TDR 55;TDR 45;TDR 44;TDR 43;TDR 38.t;TDR 37;TDR 35;TDR 34;TDR 32;TDR 31;TDR 29.t;TDR 14.t;TDR 9;TDR 7;TDR 5;TDR 2.t;TDR 1;TDR 73.t;TDR 23.t;TDR 11.t;TDR 4;TDR 63;TDR 36;TDR 17;TDR 13;TDR 0;TDR 72;TDR 19;TDR 10;
FIGURE3_v2;3;1;5;2;35;4;149;96;256;405;352;;2 of 10    20%;0 of 6    0%;0;2 of 10    20%;0 of 6    0%;4;0;0;55.5555555555556%;630;256;1516;TDR 1.t;TDR 3.t;TDR 2;TDR 4;
N100D2_v2;31;37;63;3;2225;4;6626;4216;11428;18054;15644;;577 of 1953    29.5442908346134%;18 of 2278    0.790166812993854%;52;206 of 1953    10.5478750640041%;0 of 2278    0%;41;0;0;68.7022900763359%;976516;266365;2219397;TDR 97.t;TDR 96;TDR 95;TDR 85;TDR 83;TDR 75;TDR 74;TDR 73;TDR 72;TDR 69;TDR 66;TDR 60;TDR 58;TDR 57;TDR 37;TDR 36.t;TDR 35;TDR 33;TDR 32;TDR 31;TDR 30;TDR 12;TDR 6;TDR 4;TDR 92.t;TDR 81.t;TDR 79.t;TDR 63.t;TDR 46.t;TDR 42.t;TDR 18.t;TDR 94;TDR 3;TDR 34;TDR 91;TDR 80;TDR 77;TDR 62;TDR 44;TDR 39;TDR 17;
N132D4_v2;39;40;92;5;2912;6;12653;7589;22721;35374;30310;;1048 of 4186    25.0358337314859%;18 of 3081    0.584225900681597%;56;435 of 4186    10.3917821309126%;0 of 3081    0%;72;0;0;57.8947368421053%;1729108;442736;3900952;TDR 128;TDR 123;TDR 122;TDR 121.t;TDR 119;TDR 113;TDR 111;TDR 106;TDR 105;TDR 102;TDR 96;TDR 95.t;TDR 93;TDR 91.t;TDR 90;TDR 88.t;TDR 85.t;TDR 84;TDR 64;TDR 61.t;TDR 60;TDR 55;TDR 54;TDR 51;TDR 47;TDR 45;TDR 44;TDR 43;TDR 39;TDR 36;TDR 33;TDR 19;TDR 17;TDR 11;TDR 10.t;TDR 7;TDR 5;TDR 3;TDR 2;TDR 1;TDR 116.t;TDR 108.t;TDR 101.t;TDR 81.t;TDR 77.t;TDR 70.t;TDR 68.t;TDR 41.t;TDR 38.t;TDR 30.t;TDR 22.t;TDR 15.t;TDR 0;TDR 117;TDR 92;TDR 89;TDR 87;TDR 83;TDR 59;TDR 9;TDR 114;TDR 107;TDR 100;TDR 73;TDR 74;TDR 69;TDR 66;TDR 40;TDR 37;TDR 29;TDR 21;TDR 14;
N17D3_v2;7;8;11;3;447;5;1462;918;2773;4235;3691;;10 of 55    18.1818181818182%;0 of 105    0%;3;4 of 55    7.27272727272727%;0 of 105    0%;5;0;0;80.7692307692308%;20605;6889;48099;TDR 1.t;TDR 0;TDR 11.t;TDR 21;TDR 8;
