FileName;SIB nodes;SCB nodes;TDR nodes;Max Depth;Total TDR Lenght;Sessions;digging Alg conf time ;Hollowing Alg conf time ;test time;Digging TotalTime;Hollowing TotalTime;ON DIAGNOSIS;TDR DC before new Sessions;SCB-SIB DC before new Sessions;Added Sessions;TDR DC after new Sessions;SCB-SIB DC after new Sessions;NoneTestable TDRs;NoneTestable SIBs;NoneTestable SCBs;Testability;Diagnosis Time;Diagnosis Config Time;Diagnosis Total Time;NonTestet Nodes
N140D50;44;50;90;3;427776;5;1439334;896851;2668676;4108010;3565527;;351 of 1035    33.9130434782609%;0 of 4371    0%;15;279 of 1035    26.9565217391304%;0 of 4371    0%;30;0;0;78.5714285714286%;75684985;18285299;169655269;TDR 135;TDR 119;TDR 118;TDR 117;TDR 113;TDR 112;TDR 110;TDR 102;TDR 101;TDR 100;TDR 98;TDR 67;TDR 66;TDR 51;TDR 43;TDR 36;TDR 35;TDR 29;TDR 28;TDR 23;TDR 17;TDR 11;TDR 10;TDR 128;TDR 40;TDR 26;TDR 7;TDR 127;TDR 39;TDR 25;
N32D6;13;10;24;4;96135;5;312385;198217;618447;930832;816664;;12 of 55    21.8181818181818%;0 of 253    0%;2;10 of 55    18.1818181818182%;0 of 253    0%;5;0;0;85.2941176470588%;4097314;1203904;9398532;TDR 31;TDR 28;TDR 10;TDR 3;TDR 2;
N73D14;29;17;56;11;218823;13;1709636;950086;3427015;5136651;4377101;;77 of 351    21.9373219373219%;0 of 1035    0%;4;62 of 351    17.6638176638177%;0 of 1035    0%;22;0;0;69.8630136986301%;57816680;7957973;123591333;TDR 71;TDR 64;TDR 63;TDR 60;TDR 59;TDR 53;TDR 26;TDR 23;TDR 22;TDR 17;TDR 11;TDR 10;TDR 8;TDR 6;TDR 3;TDR 48;TDR 70;TDR 1;TDR 31;TDR 16;TDR 9;TDR 46;
N85D11;38;21;64;7;247428;9;1189471;700889;2611625;3801096;3312514;;71 of 325    21.8461538461538%;0 of 1711    0%;8;47 of 325    14.4615384615385%;0 of 1711    0%;14;0;0;83.5294117647059%;54029824;9285438;117345086;TDR 81;TDR 80;TDR 79;TDR 71;TDR 60;TDR 54;TDR 53;TDR 51;TDR 36;TDR 45;TDR 42;TDR 34;TDR 44;TDR 41;
N85D8;31;27;60;7;231670;9;1272433;734549;2504507;3776940;3239056;;92 of 406    22.6600985221675%;0 of 1653    0%;8;69 of 406    16.9950738916256%;0 of 1653    0%;18;0;0;79.3103448275862%;65099706;10758346;140957758;TDR 79;TDR 38;TDR 37;TDR 32;TDR 31;TDR 30;TDR 29;TDR 28;TDR 15;TDR 10;TDR 9;TDR 67;TDR 54;TDR 43;TDR 3;TDR 66;TDR 53;TDR 42;
N95D10;31;33;62;6;313890;7;1530500;893182;2684209;4214709;3577391;;206 of 465    44.3010752688172%;0 of 2016    0%;4;193 of 465    41.505376344086%;0 of 2016    0%;26;0;0;72.6315789473684%;32140927;6002439;70284293;TDR 94;TDR 85;TDR 84;TDR 82;TDR 80;TDR 70;TDR 67;TDR 60;TDR 55;TDR 45;TDR 44;TDR 43;TDR 35;TDR 34;TDR 32;TDR 31;TDR 9;TDR 7;TDR 5;TDR 1;TDR 64;TDR 37;TDR 4;TDR 0;TDR 63;TDR 36;
FIGURE3;3;1;5;2;35;4;152;98;262;414;360;;0 of 1    0%;0 of 6    0%;0;0 of 1    0%;0 of 6    0%;0;0;0;100%;454;262;1170;
N100D2;31;37;63;3;2225;4;6829;4336;11696;18525;16032;;224 of 496    45.1612903225806%;1 of 2278    0.0438981562774363%;7;194 of 496    39.1129032258064%;1 of 2278    0.0438981562774363%;25;2;0;73%;195015;45247;435277;TDR 96;TDR 95;TDR 85;TDR 83;TDR 75;TDR 74;TDR 73;TDR 72;TDR 69;TDR 66;TDR 60;TDR 58;TDR 57;TDR 37;TDR 33;TDR 32;TDR 31;TDR 30;TDR 12;TDR 6;TDR 4;TDR 35;SIB 92;TDR 94;TDR 3;TDR 34;SIB 64;
N132D4;39;40;92;5;2912;6;12997;7781;23153;36150;30934;;493 of 1378    35.7764876632801%;3 of 3081    0.0973709834469328%;15;411 of 1378    29.8258345428157%;2 of 3081    0.0649139889646219%;39;3;1;67.4242424242424%;648199;135443;1431841;TDR 128;TDR 123;TDR 122;TDR 113;TDR 111;TDR 106;TDR 105;TDR 102;TDR 96;TDR 64;TDR 60;TDR 55;TDR 54;TDR 51;TDR 47;TDR 45;TDR 44;TDR 43;TDR 39;TDR 36;TDR 33;TDR 19;TDR 17;TDR 11;TDR 7;TDR 5;TDR 3;TDR 2;TDR 1;TDR 119;TDR 93;TDR 90;TDR 84;SIB 104;SIB 20;TDR 0;TDR 59;TDR 117;TDR 92;TDR 89;TDR 83;SIB 53;SCB 13;
N17D3;7;8;11;3;447;5;1518;950;2845;4363;3795;;1 of 6    16.6666666666667%;0 of 105    0%;0;1 of 6    16.6666666666667%;0 of 105    0%;2;0;0;89.4736842105263%;10261;2845;23367;TDR 0;TDR 21;
